frame,distance
862,0.00398259522423508
863,0.004859591581903426
864,0.004859591581903426
865,0.005509600646998789
866,0.00515880210393145
867,0.005272295750217942
868,0.005096896478684273
869,0.00515880210393145
870,0.00515880210393145
871,0.005746905543779635
872,0.005220707729178628
873,0.005746905543779635
874,0.005396107000712297
875,0.005272295750217942
876,0.005096896478684273
877,0.005509600646998789
878,0.004983402832397781
879,0.0049214972071506035
880,0.005272295750217942
881,0.004859591581903426
882,0.004746097935616934
883,0.0049214972071506035
884,0.004446887413588911
885,0.00533420137546512
886,0.0049214972071506035
887,0.005096896478684273
888,0.005623094293285281
889,0.004508793038836088
890,0.0049214972071506035
891,0.00515880210393145
892,0.005684999918532458
893,0.004983402832397781
894,0.005396107000712297
896,0.0021460616752354833
897,0.0023317785509770154
898,0.004859591581903426
899,0.004684192310369757
900,0.00533420137546512
901,0.00533420137546512
902,0.005272295750217942
903,0.005571506272245967
904,0.005272295750217942
905,0.005272295750217942
906,0.004271488142055241
907,0.004446887413588911
908,0.004333393767302418
909,0.002579401051965725
910,0.004570698664083265
911,0.004983402832397781
912,0.005096896478684273
913,0.004983402832397781
914,0.004983402832397781
915,0.004746097935616934
916,0.004457205017796773
917,0.004395299392549595
918,0.004157994495768749
919,0.004157994495768749
920,0.004096088870521572
921,0.00398259522423508
922,0.00398259522423508
923,0.004096088870521572
924,0.004157994495768749
925,0.0035698910559205637
926,0.004044500849482257
927,0.00398259522423508
928,0.003869101577948588
929,0.0022698729257298383
930,0.008315988991537498
931,0.0036317966811677408
933,0.0024555898014713704
934,0.0024555898014713704
935,0.0024555898014713704
936,0.0024555898014713704
937,0.0024555898014713704
